"Officiële naam";"Alternatieve naam";"Afkorting";"Type";"Subtype";"Startdatum";"Einddatum";"Datum ter verificatie";"Laatste mutatie";"Classificaties";"Onderdeel van";"Organisatiebeschrijving/doel";"Link naar uitgebreidere organisatiebeschrijving";"Adressen (type, toelichting, straat, huisnummer, toevoeging, postbus, postcode, plaats, regio, provincieAfkorting, land, centroideLatitude, centroideLongitude, centroideRdx, centroideRdy)";"Online afspraak url";"Afspraak per email";"Telefonische afspraak";"Telefoonnummers ";"Fax";"E-mail adressen";"Internetpagina's";"Sociale Media";"Contactformulieren";"Beschrijving contactgegevens";"Relatie met ministerie";"Link naar organogram";"Oppervlakte (km2)";"Wateroppervlakte (km2)";"Bevat plaatsen";"Aantal inwoners";"Inwoners per km2";"Totaal aantal zetels";"Raad (Partij (aantal zetels))";"Beleidsterreinen";"Datum van publiceren begroting";"Actieve afwijkingen van de Regeling";"OWMS URI";"TOOi URI";"KVK-nummer";"btw-nummer";"Loonheffingennummer";"OIN";"Organisatiecode";"Actieve beheerder ROO"
"Gemeente Alphen-Chaam";"";"Alphen-Chaam";"Gemeente";"";"01-01-1997";"";"16-03-2025";"16-03-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"";"adresType: Bezoekadres, openbareRuimte: Willibrordplein, huisnummer: 1, postcode: 5131 AV, woonplaats: ALPHEN NB, provincieAfkorting: NB, centroideLatitude: 51.48298782, centroideLongitude: 4.95473616, centroideRdx: 124960.0, centroideRdy: 388305.0;adresType: Postadres, postbus: 3, postcode: 5130 AA, woonplaats: ALPHEN NB;adresType: Woo-Adres, postbus: 3, postcode: 5130 AA, woonplaats: Alphen NB, land: Nederland;adresType: Woo-Adres, openbareRuimte: Willibrordplein, huisnummer: 1, postcode: 5131 AV, woonplaats: Alphen NB, land: Nederland";"https://www.alphen-chaam.nl/afspraak";"";"(014) 013";"(014) 013, label: algemeen";"";"info@alphen-chaam.nl, label: algemeen";"https://www.alphen-chaam.nl, label: algemeen";"";"";"";"";"https://www.abg.nl/documents/Organogram-ABG-gemeenten-en-organisatie.pdf";"93,63";"";"Alphen NB, Bavel Ac, Chaam, Galder, Strijbeek, Ulvenhout Ac";"10539";"112";"15";"Gemeenschapsbelangen Alphen (GBA) (4);GemeenteBelangen SamenwerkingsVerband (GBSV) (4);CDA (3);VVD (2);GSU (1);D66 (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Alphen-Chaam";"https://identifier.overheid.nl/tooi/id/gemeente/gm1723";"50166727";"";"";"";"gm1723";"Ja"
"Gemeente Altena";"";"Altena";"Gemeente";"";"01-01-2019";"";"16-03-2025";"16-03-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"";"adresType: Bezoekadres, openbareRuimte: Sportlaan, huisnummer: 170, postcode: 4286 ET, woonplaats: ALMKERK, provincieAfkorting: NB, centroideLatitude: 51.77085134, centroideLongitude: 4.93960317, centroideRdx: 124105.626, centroideRdy: 420336.532;adresType: Postadres, postbus: 5, postcode: 4286 ZG, woonplaats: ALMKERK;adresType: Woo-Adres, postbus: 5, postcode: 4286 ZG, woonplaats: Almkerk, provincieAfkorting: NB, land: Nederland";"https://www.gemeentealtena.nl/afspraak-maken";"";"";"(0183) 51 61 00, label: algemeen";"";"info@gemeenteAltena.nl, label: algemeen";"https://www.gemeenteAltena.nl, label: algemeen";"";"";"";"";"https://www.gemeentealtena.nl/college-en-organisatie/organisatie/organisatiestructuur";"201,86";"";"Almkerk, Andel, Babylonienbroek, Drongelen, Dussen, Eethen, Genderen, Giessen, Hank, Meeuwen, Nieuwendijk, Rijswijk NB, Sleeuwijk, Uitwijk, Veen, Waardhuizen, Werkendam, Wijk en Aalburg, Woudrichem";"58726";"290";"31";"CDA (8);AltenaLokaal (6);SGP (5);ChristenUnie (4);Progressief Altena (4);VVD (2);Vrije Volkspartij Altena (2)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Altena";"https://identifier.overheid.nl/tooi/id/gemeente/gm1959";"73578886";"";"";"";"";"Ja"
"Gemeente Ameland";"";"Ameland";"Gemeente";"";"";"";"16-03-2025";"16-03-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"De organisatie van de gemeente Ameland is vormgegeven volgens het directiemodel. De gemeentelijke organisatie wordt aangestuurd door een secretaris-directeur, twee adjunct-directeuren en een bedrijfsleider buitendienst. Binnen de clusters van de binnen- en buitendienst werken medewerkers in kleine teams aan de vele verschillende taken van de gemeente volgens onze kernwaarden: lef, samenwerking en integriteit.";"https://www.ameland.nl/organisatiestructuur";"adresType: Bezoekadres, openbareRuimte: Jelmeraweg, huisnummer: 1, postcode: 9162 EA, woonplaats: BALLUM, provincieAfkorting: FR, centroideLatitude: 53.44149463, centroideLongitude: 5.68754272, centroideRdx: 174958.0, centroideRdy: 606180.0;adresType: Postadres, postbus: 22, postcode: 9160 AA, woonplaats: HOLLUM;adresType: Woo-Adres, postbus: 22, postcode: 9160 AA, woonplaats: HOLLUM;adresType: Woo-Adres, openbareRuimte: Jelmeraweg, huisnummer: 1, postcode: 9162 EA, woonplaats: HOLLUM, provincieAfkorting: FR";"https://www.ameland.nl/afspraak-maken?language_content_entity=nl#select/";"";"";"(0519) 55 55 55, label: algemeen";"";"info@ameland.nl, label: algemeen";"https://www.ameland.nl, label: algemeen";"";"";"";"";"";"268,5";"";"Ballum, Buren FR, Hollum, Nes Gem Ameland";"3800";"14";"11";"AmelandEén (4);Algemeen Belang Ameland (2);Fractie Robin Oud (1);CDA (1);PvdA (1);VVD (1);Ameland '82 (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Ameland";"https://identifier.overheid.nl/tooi/id/gemeente/gm0060";"01180264";"";"";"";"gm0060";"Ja"
"Gemeente Amersfoort";"";"Amersfoort";"Gemeente";"";"";"";"15-05-2025";"15-05-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://www.amersfoort.nl/organogram";"adresType: Woo-Adres, postbus: 4000, postcode: 3800 EA, woonplaats: Amersfoort;adresType: Bezoekadres, openbareRuimte: Stadhuisplein, huisnummer: 1, postcode: 3811 LM, woonplaats: AMERSFOORT, provincieAfkorting: UT, centroideLatitude: 52.15671963, centroideLongitude: 5.38416479, centroideRdx: 154792.05, centroideRdy: 463172.16;adresType: Postadres, postbus: 4000, postcode: 3800 EA, woonplaats: AMERSFOORT;adresType: Woo-Adres, openbareRuimte: Stadhuisplein, huisnummer: 1, postcode: 3811LM, woonplaats: Amersfoort, land: Nederland, centroideLatitude: 52.15671963, centroideLongitude: 5.38416472, centroideRdx: 154792.05, centroideRdy: 463172.16";"https://afspraken.amersfoort.nl/";"info@amersfoort.nl";"14 033";"14 033, label: algemeen";"";"info@amersfoort.nl, label: algemeen";"https://www.amersfoort.nl, label: algemeen";"";"";"";"";"https://www.amersfoort.nl/organogram";"63,86";"";"Amersfoort, Hoogland, Hooglanderveen, Stoutenburg Noord";"163298";"2557";"39";"GroenLinks (6);D66 (6);CDA (5);ChristenUnie (4);VVD (4);Amersfoort2014 (4);PvdA (2);SP (2);Partij voor de Dieren (2);Burger Partij Amersfoort (1);Beter Amersfoort (1);DENK (1);Amersfoort voor Vrijheid (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Amersfoort_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0307";"32160938";"";"";"";"gm0307";"Ja"
"Gemeente Amstelveen";"";"Amstelveen";"Gemeente";"";"01-01-1964";"";"10-04-2025";"10-04-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"In de gemeente Amstelveen en Aalsmeer zetten ruim 1.200 medewerkers zich in voor ruim 128.000 inwoners. Zij doen dat in opdracht van beide gemeenteraden en colleges van burgemeester en wethouders, onder leiding van de algemeen directeur Amstelveen-Aalsmeer. In Aalsmeer wordt nauw samengewerkt met de kernorganisatie Aalsmeer (KOA). De ambtelijke organisatie van de gemeenten Amstelveen en Aalsmeer noemen we de AA-organisatie.";"https://www.amstelveen.nl/organisatiestructuur";"adresType: Bezoekadres, openbareRuimte: Laan Nieuwer-Amstel, huisnummer: 1, postcode: 1182 JR, woonplaats: AMSTELVEEN, provincieAfkorting: NH, centroideLatitude: 52.30205442, centroideLongitude: 4.84374245, centroideRdx: 117931.357, centroideRdy: 479481.252;adresType: Postadres, postbus: 4, postcode: 1180 BA, woonplaats: AMSTELVEEN;adresType: Woo-Adres, openbareRuimte: Laan Nieuwer-Amstel, huisnummer: 1, postbus: 4, postcode: 1182JR, woonplaats: Amstelveen, provincieAfkorting: NH, land: Nederland, centroideLatitude: 52.30101629, centroideLongitude: 4.8446072, centroideRdx: 117989.48, centroideRdy: 479365.307";"https://amstelveen.mijnafspraakmaken.nl/";"gemeente@amstelveen.nl";"(020) 540 49 11";"(020) 540 49 11, label: algemeen";"";"gemeente@amstelveen.nl, label: algemeen";"https://www.amstelveen.nl, label: algemeen";"";"";"";"";"https://www.amstelveen.nl/organisatiestructuur";"42,37";"";"Amstelveen";"95822";"2261";"37";"VVD (8);D66 (7);Burgerbelangen Amstelveen (5);GroenLinks (4);PvdA (3);Goed voor Amstelveen (2);Actief voor Amstelveen (2);SP (2);Belang van Nederland (1);CDA (1);50PLUS (1);ChristenUnie (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Amstelveen_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0362";"34365024";"";"";"";"gm0362";"Ja"
"Gemeente Amsterdam";"";"Amsterdam";"Gemeente";"";"";"";"21-05-2025";"21-05-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://www.amsterdam.nl/bestuur-en-organisatie/";"adresType: Bezoekadres, openbareRuimte: Amstel, huisnummer: 1, postcode: 1011 PN, woonplaats: AMSTERDAM, provincieAfkorting: NH, centroideLatitude: 52.3676456, centroideLongitude: 4.90016554, centroideRdx: 121828.874, centroideRdy: 486751.728;adresType: Postadres, postbus: 202, postcode: 1000 AE, woonplaats: AMSTERDAM;adresType: Woo-Adres, toelichting: T.a.v. Woo-ondersteuningsteam, postbus: 202, postcode: 1000AE, woonplaats: Amsterdam, regio: Amstelland, provincieAfkorting: NH, land: Nederland";"https://www.amsterdam.nl/contact/";"";"14 020";"14 020, label: algemeen";"";"";"https://www.amsterdam.nl, label: algemeen";"";"https://www.amsterdam.nl/contact/, taalcode: nl-NL";"";"";"https://www.amsterdam.nl/bestuur-organisatie/organisatie/";"219,07";"";"Amsterdam, Weesp";"934526";"4265";"45";"PvdA (9);GroenLinks (8);D66 (7);VVD (5);Partij voor de Dieren (3);De Vonk (2);JA21 (2);DENK (2);SP (2);Volt (2);CDA (1);Forum voor Democratie (1);Lijst Kabamba (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Amsterdam";"https://identifier.overheid.nl/tooi/id/gemeente/gm0363";"34366966";"";"";"";"gm0363";"Ja"
"Gemeente Apeldoorn";"";"Apeldoorn";"Gemeente";"";"";"";"16-03-2025";"16-03-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"Gemeente Apeldoorn ontwikkelt zich op veelbelovende wijze. Met bedrijfsleven en maatschappelijke organisaties wordt steeds meer samenwerking gezocht. Het gaat erom samen met alle betrokkenen richting te geven aan een stad in ontwikkeling waar 168.000 inwoners graag en goed wonen.";"https://www.apeldoorn.nl/organisatie/gemeentelijke-organisatie";"adresType: Bezoekadres, openbareRuimte: Marktplein, huisnummer: 1, postcode: 7311 LG, woonplaats: APELDOORN, provincieAfkorting: GD, centroideLatitude: 52.21575579, centroideLongitude: 5.96394125, centroideRdx: 194414.674, centroideRdy: 469897.383;adresType: Postadres, postbus: 9033, postcode: 7300 ES, woonplaats: APELDOORN;adresType: Woo-Adres, postbus: 9033, postcode: 7300 ES, woonplaats: Apeldoorn, provincieAfkorting: Ge, land: Nederland";"https://www.apeldoorn.nl/procedures-meldingen-klachten-of-bezwaar/overheid/wet-openbaarheid";"";"";"14 055, label: algemeen";"";"gemeente@apeldoorn.nl, label: algemeen";"https://www.apeldoorn.nl, label: algemeen";"";"";"";"";"https://www.apeldoorn.nl/organogram";"341,14";"";"Apeldoorn, Beekbergen, Beemte Broekland, Hoenderloo, Hoog Soeren, Klarenbeek, Lieren, Loenen, Radio Kootwijk, Uddel, Ugchelen, Wenum Wiesel";"168551";"494";"39";"VVD (6);Lokaal Apeldoorn (6);GroenLinks (4);PvdA (3);D66 (3);Beter voor Apeldoorn (3);ChristenUnie (3);WijApeldoorn (2);SGP (2);SP (2);CDA (2);Partij voor de Dieren (2);50PLUS (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Apeldoorn_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0200";"08223882";"";"";"";"gm0200";"Ja"
"Gemeente Arnhem";"";"Arnhem";"Gemeente";"";"";"";"09-04-2025";"09-04-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"De gemeentelijke organisatie heeft een tweehoofdigedirectie: de gemeentesecretaris ende concerndirecteur. Onder hun leiding is deorganisatie verdeeld in zeven onderdelen,die we clusters noemen. Elk cluster is verantwoordelijkvoor een specifieke groep takendie bij elkaar horen. Binnen elk cluster zijn erverschillende afdelingen. Elke afdeling heefteen afdelingshoofd. Deze afdelingshoofdenwerken nauw samen met de clustermanagerom het cluster te leiden. Samen vormen ze hetCluster Management Team, afgekort als CMT.";"https://www.arnhem.nl/Bestuur/organisatie/Staat_van_de_Organisatie";"adresType: Bezoekadres, openbareRuimte: Koningstraat, huisnummer: 38, postcode: 6811 DG, woonplaats: ARNHEM, provincieAfkorting: GD, centroideLatitude: 51.97934657, centroideLongitude: 5.91104524, centroideRdx: 190989.656, centroideRdy: 443567.693;adresType: Postadres, postbus: 9029, postcode: 6800 EL, woonplaats: ARNHEM;adresType: Woo-Adres, postbus: 9029, postcode: 6800 EL, woonplaats: Arnhem, regio: Gelderland, land: Nederland";"https://www.arnhem.nl/algemeen/contact";"";"(0800) 18 09";"(0800) 18 09, label: algemeen";"";"";"https://www.arnhem.nl, label: algemeen";"";"https://www.arnhem.nl/algemeen/contact, taalcode: nl-NL";"";"";"https://www.arnhem.nl/Bestuur/organisatie/Staat_van_de_Organisatie";"101,53";"";"Arnhem";"169364";"1668";"39";"GroenLinks (7);D66 (5);VVD (5);Arnhem Centraal (4);Partij voor de Dieren (3);PvdA (3);SP (2);DENK (2);Volt (2);BurgerBelang Arnhem (1);ChristenUnie (1);PVV (1);Groep Van den Broek (1);Forum voor Democratie (1);CDA (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Arnhem_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0202";"09214908";"";"";"";"gm0202";"Ja"
"Gemeente Assen";"";"Assen";"Gemeente";"";"";"";"15-04-2025";"15-04-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"";"adresType: Bezoekadres, openbareRuimte: Noordersingel, huisnummer: 33, postcode: 9401 JW, woonplaats: ASSEN, provincieAfkorting: DR, centroideLatitude: 52.99463641, centroideLongitude: 6.56506716, centroideRdx: 234082.743, centroideRdy: 557053.171;adresType: Postadres, postbus: 30018, postcode: 9400 RA, woonplaats: ASSEN;adresType: Woo-Adres, openbareRuimte: Noordersingel, huisnummer: 33, postcode: 9401 JW, woonplaats: Assen, provincieAfkorting: Dr, land: Nederland;adresType: Woo-Adres, postbus: 30018, postcode: 9400 RA, woonplaats: Assen, provincieAfkorting: Dr, land: Nederland";"https://www.assen.nl/afspraak-maken";"info@assen.nl";"(0592) 36 69 11";"(0592) 36 69 11, label: algemeen";"";"info@assen.nl, label: algemeen";"https://www.assen.nl, label: algemeen";"";"";"";"";"https://www.assen.nl/bestuur-en-organisatie";"83,45";"";"Assen, Loon, Rhee, Ter Aard, Ubbena, Zeijerveen, Zeijerveld";"70392";"843";"33";"Assen Centraal (6);ChristenUnie (5);Stadspartij PLOP (5);VVD (3);GroenLinks (3);D66 (3);PvdA (3);CDA (2);SP (1);Lijst van Brakel (1);Lijst De Rijke (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Assen_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0106";"50788590";"";"";"";"gm0106";"Ja"
"Gemeente Asten";"";"Asten";"Gemeente";"";"";"";"13-04-2025";"13-04-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"Groot genoeg om kansen te krijgen, klein genoeg om kansen te creëren. Dat is gemeente Asten. Zo creëren we een uitdagende werkomgeving waarin je alle ruimte krijgt om te doen waarin jij goed bent. Samenwerking, ontwikkeling en werkplezier staan voorop. Daarom werken we vanuit vertrouwen en verantwoordelijkheid, met ruimte voor eigen initiatief en groei. Functies kenmerken zich dan ook door brede takenpakketten.We stimuleren een werkomgeving waarin talent wordt benut en collega’s elkaar ondersteunen en van elkaar leren. Persoonlijke ontwikkeling is van groot belang en we investeren graag in een duurzame en vitale organisatie waarin iedereen zich prettig voelt en uitgedaagd wordt.";"https://www.werkenbijasten.nl/";"adresType: Bezoekadres, openbareRuimte: Koningsplein, huisnummer: 3, postcode: 5721 GJ, woonplaats: ASTEN, provincieAfkorting: NB, centroideLatitude: 51.40386808, centroideLongitude: 5.74523324, centroideRdx: 179913.0, centroideRdy: 379475.0;adresType: Postadres, postbus: 290, postcode: 5720 AG, woonplaats: ASTEN;adresType: Woo-Adres, toelichting: Bezoekadres, openbareRuimte: Koningsplein, huisnummer: 3, postcode: 5721GJ, woonplaats: Asten, provincieAfkorting: NB, land: Nederland, centroideLatitude: 51.40386808, centroideLongitude: 5.74523316, centroideRdx: 179913.0, centroideRdy: 379475.0;adresType: Woo-Adres, toelichting: Postbus, openbareRuimte: Postbus 290, postcode: 5720 AG, woonplaats: Asten, land: Nederland";"https://asten.mijnafspraakmaken.nl/";"";"(0493) 67 12 12";"(0493) 67 12 12, label: algemeen";"";"Gemeente@asten.nl, label: algemeen";"https://www.asten.nl/gemeentebestuur-en-organisatie/contact/openingstijden-en-contact, label: algemeen";"";"";"";"";"https://www.werkenbijasten.nl/portal-over-het-bedrijf/organogram";"71,39";"";"Asten, Heusden Gem Asten, Ommel";"17385";"243";"17";"Samen voor Asten (5);CDA (5);Algemeen Belang (4);PGA (2);VVD (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Asten_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0743";"50210254";"";"";"";"gm0743";"Ja"
